Frame_ID,User_ID,Model,R,D,Pred_Cost,Real_Cost,Param_a,Param_b,Param_c,x,y,z,Mode
0,0,bicycle,0.002017083341419884,0.01868375000808655,0.0018765952217188373,0.0021150048165084158,-0.11038426337580184,0.5400962272588617,0.48736137953456504,0.7934926243744395,0.12532240277830742,1.2672849721850217,Slow
0,1,bicycle,0.0020767477383346463,0.013187858849445757,0.00205000520146636,0.0021774728812916453,-0.24663973931358588,0.8217137696196536,0.36835022081976976,1.1507176753545352,0.6609746494506691,0.159919063850976,Fast
0,3,room,0.009288323454572981,0.02039943456568409,0.001292271309067403,0.0011205810697125455,-0.5202827272595637,1.0414077674304152,0.4227290212276657,-0.09261632352068577,0.8156577653441308,-0.6600432038481683,Slow
1,1,bicycle,0.013187858849445757,0.024298969960556867,0.0020501244525117277,0.0019998828162325656,-0.2469502172236949,0.8222240345960488,0.36813530801091526,1.1527033803772617,0.6631777509385439,0.15310126917612624,Fast
1,0,bicycle,0.01868375000808655,0.03535041667475322,0.0018766338945003219,0.001799723557520904,-0.11035586805796668,0.5400646828031392,0.4873769022733261,0.7945555630654629,0.12583894878049373,1.2669689777323714,Slow
1,3,room,0.02039943456568409,0.031510545676795204,0.0012922611551584608,0.0012838885730915592,-0.5203175139482296,1.0414597513484065,0.4227021102406104,-0.0908993879988592,0.816006338295097,-0.660712347831214,Slow
2,1,bicycle,0.024298969960556867,0.03541008107166798,0.002050537097180087,0.002162544908521576,-0.24772469081167353,0.823584361167746,0.367517378576195,1.1536728072498674,0.669821199759891,0.15629560856454144,Fast
0,2,room,0.03145217390523256,0.0647855072385659,0.0013138924715632556,0.0013143356421943192,-0.16927084575644774,0.5102837897610757,0.6469747791457692,-1.2014029038379492,2.2079328840077883,1.1003576538759858,Slow
2,3,room,0.031510545676795204,0.04262165678790632,0.0012922653034817579,0.0013751949460266333,-0.5202566992604416,1.0413710592234242,0.4227388868352738,-0.0909601925481808,0.8164023129091855,-0.6625444589823402,Slow
2,0,bicycle,0.03535041667475322,0.052017083341419884,0.0018766415864034764,0.001956817126925671,-0.11036359459172902,0.540066889100234,0.48742693743983173,0.7953345138212919,0.12517362230400836,1.2663003318417565,Slow
3,1,bicycle,0.03541008107166798,0.04652119218277909,0.002050946379082894,0.002066186086827541,-0.24849080566525483,0.8249306673048286,0.36690549183120047,1.154336552864656,0.6771836151915683,0.15549981612815103,Fast
3,3,room,0.04262165678790632,0.05373276789901743,0.0012922612448644827,0.0013874947140305371,-0.5202415721269,1.0413498289073264,0.4227448320561671,-0.09033601596389174,0.8181371229961303,-0.6622010031450608,Slow
4,1,bicycle,0.04652119218277909,0.05763230329389021,0.002050924145031425,0.0020355847477037644,-0.24828566428273746,0.8246360673406451,0.3670076740830911,1.1497185731204114,0.6783302315508534,0.16121283099229536,Fast
3,0,bicycle,0.052017083341419884,0.06868375000808655,0.0018766294427724442,0.0018502751301284997,-0.11038966109283616,0.540087362075008,0.4874835539485459,0.7954489142362507,0.12426901824113278,1.2654847860356602,Slow
4,3,room,0.05373276789901743,0.06484387901012854,0.0012922623528078836,0.001343057631333208,-0.5202723092086058,1.0413941410138017,0.4227286831615797,-0.09101306159947792,0.8177485388745965,-0.660495794669206,Slow
5,1,bicycle,0.05763230329389021,0.06874341440500131,0.0020508304075547517,0.002024742760566183,-0.24790642483628283,0.8240518526026686,0.36723363085499605,1.1430686148934064,0.6794330206360047,0.16434985452493395,Fast
1,2,room,0.0647855072385659,0.09811884057189924,0.0013139150834762837,0.0012477591138779312,-0.16975933510160265,0.5110220238762179,0.6466826049149559,-1.2040615717754457,2.206230861328234,1.1030799047095352,Slow
5,3,room,0.06484387901012854,0.07595499012123966,0.0012922674282024708,0.0012377519167755633,-0.5201970581850096,1.041284416896577,0.4227747884065697,-0.09153795670110099,0.8195138637207386,-0.6608496840278856,Slow
4,0,bicycle,0.06868375000808655,0.08535041667475321,0.0018765898985764508,0.0020686690696580644,-0.11042213654549851,0.540121816109807,0.48747968505676764,0.7948758480847561,0.12323677192219416,1.2658050572494837,Slow
6,1,bicycle,0.06874341440500131,0.07985452551611243,0.002051138297880203,0.0021433138297318605,-0.24840180267956805,0.8249545138852366,0.36680789450545515,1.141535160499083,0.6857283394072774,0.16799628895052843,Fast
6,3,room,0.07595499012123966,0.08706610123235077,0.001292259610430237,0.0010931833933660704,-0.5202030887515787,1.041294410656852,0.42276595454864907,-0.09021355968934858,0.8208169464572556,-0.6611047767470175,Slow
