Frame_ID,User_ID,Model,R,D,fps,Pred_Cost,Real_Cost,Param_a,Param_b,Param_c,x,y,z,Mode
0,2,room,0.00033303988747419947,0.011444150998585312,90,0.0013569410599722567,0.0014628170976902686,-0.7868595630248555,1.4120406895195012,0.29377404896357856,0.8881562109589837,2.4388790793765804,3.13862449618242,Real
0,3,room,0.010529866955160786,0.021640978066271896,90,0.00152129367075084,0.0011919344049445815,-0.4606546086649959,0.9834532700656834,0.4033424364468019,6.056458187900197,-2.169161578720312,0.2912055999688879,Real
1,2,room,0.011444150998585312,0.022555262109696425,90,0.0013600855498577887,0.001258702467090755,-0.7598302534583948,1.3626900758421414,0.3059072249181859,0.8864957440482627,2.4543137186087884,3.131604018322173,Real
0,1,bicycle,0.012822952657705946,0.03282295265770595,50,0.001556000217252082,0.0015883594688644357,1.4022385758137113,-1.5023336414349553,1.1188919876446295,-2.1963166663537184,5.305922467474457,1.9995130455278929,Real
0,0,bicycle,0.01584523844016527,0.03251190510683194,60,0.001713706118428267,0.0017689986128749076,-0.23874005789647387,1.0027684209957066,0.1924130358128955,-4.502683342314787,3.0266391659985663,1.3118107408956832,Real
1,3,room,0.021640978066271896,0.03275208917738301,90,0.0015109712935167563,0.0015426724283233713,-0.3965873151836843,0.8882316065093157,0.43400423001500626,6.073307736369974,-2.135264429130739,0.2982533663235676,Real
2,2,room,0.022555262109696425,0.03366637322080754,90,0.0013623702550901557,0.0014229605119097438,-0.7431353743695259,1.3320959894835493,0.313249477534717,0.8848352771375416,2.469748357840996,3.1245835404619253,Real
1,0,bicycle,0.03251190510683194,0.0491785717734986,60,0.0017198259892855807,0.0018814461923983602,0.01988520540020701,0.593896726204582,0.34705025351970226,-4.485525130357898,3.061752128686504,1.3164580938792558,Real
2,3,room,0.03275208917738301,0.04386320028849412,90,0.0015062472692641113,0.0015064120705121848,-0.36993772576463385,0.848253984556594,0.4468617301342943,6.090157284839751,-2.1013672795411664,0.30530113267824727,Real
1,1,bicycle,0.03282295265770595,0.05282295265770595,50,0.0015622379224857236,0.0017366490364109227,0.8869917354305501,-0.7091532621719209,0.8199556667860474,-2.1554171460921134,5.327753772882761,1.9905090784004693,Real
3,2,room,0.03366637322080754,0.04477748433191865,90,0.0013642143831391128,0.0012589340984567072,-0.7331676758174328,1.3136512799407125,0.3174156656317251,0.8831748102268208,2.485182997073204,3.117563062601678,Real
3,3,room,0.04386320028849412,0.054974311399605236,90,0.0015037524899330433,0.0013974368765727284,-0.36012210397015254,0.8331040286810298,0.45164737572285774,6.107006833309529,-2.0674701299515936,0.31234889903292695,Real
4,2,room,0.04477748433191865,0.055888595443029765,90,0.0013658554143643961,0.0013029689022010706,-0.7279950376767085,1.3038099295354006,0.3192643387747404,0.8815143433160998,2.500617636305412,3.1105425847414305,Real
2,0,bicycle,0.0491785717734986,0.06584523844016527,60,0.0017227835063654822,0.0016957021392584413,0.13928480078511257,0.4051315348405261,0.4184442642178476,-4.468366918401008,3.0968650913744415,1.3211054468628287,Real
2,1,bicycle,0.05282295265770595,0.07282295265770596,50,0.0015546699730559046,0.0014860386561365063,0.6930097453228672,-0.4218027768049166,0.7165417801901218,-2.114517625830508,5.349585078291065,1.9815051112730457,Real
4,3,room,0.054974311399605236,0.06608542251071635,90,0.0015023154349737553,0.0015854291560146291,-0.3588221758498765,0.8305383066402711,0.45231637689460513,6.123856381779307,-2.033572980362021,0.31939666538760664,Real
5,2,room,0.055888595443029765,0.06699970655414088,90,0.0013674393995951838,0.00156187776806599,-0.7265039565130298,1.3005241668806473,0.31928596182986113,0.8798538764053788,2.5160522755376196,3.1035221068811834,Real
3,0,bicycle,0.06584523844016527,0.08251190510683193,60,0.0017164806919006746,0.0016899250626459846,0.12447745901810181,0.4386517766089486,0.39937394261066395,-4.451208706444118,3.1319780540623787,1.3257527998464016,Real
5,3,room,0.06608542251071635,0.07719653362182746,90,0.0015014324594685663,0.0016171353403623549,-0.3617392012379517,0.8342413574266392,0.45093297594726583,6.140705930249084,-1.9996758307724478,0.3264444317422863,Real
6,2,room,0.06699970655414088,0.07811081766525199,90,0.0013690620567692827,0.0013495550130909752,-0.7280253782573908,1.3025607029224808,0.3177716438294777,0.878193409494658,2.531486914769828,3.0965016290209366,Real
